power,cap,depth,n_features,test_ic,val_ic,gap,stability,time_s
1.7,125,7,125,0.07967858188855875,0.06635190462237169,0.0,0.04373365789230344,9.110530376434326
1.7,125,6,125,0.07753054045911963,0.06652183279497798,0.0,0.12279611841650506,8.583740234375
1.6,125,6,125,0.07189456834530673,0.07102613753762514,0.0,-0.060100899202557005,8.460491418838501
1.7,125,8,125,0.070655506844875,0.06963273948392965,0.0,0.047312082276761466,9.787408351898193
1.5,150,6,150,0.06836112457692618,0.07859257810785283,0.010231453530926651,-0.07196632488585178,8.642635345458984
1.6,125,8,125,0.06836074332115481,0.07383235743645424,0.005471614115299422,0.02069009947321397,9.840338945388794
1.6,125,7,125,0.06821385135875757,0.07281602282787575,0.004602171469118177,-0.0007661070673325978,9.194358110427856
1.5,150,7,150,0.0681094911034759,0.07457478605556077,0.006465294952084866,-0.13733311050165484,9.33855390548706
1.5,175,7,175,0.06643294083998076,0.07168199730813686,0.005249056468156099,-0.05710601951050653,9.539905548095703
1.6,150,7,150,0.06545574220926559,0.06983497644000007,0.004379234230734483,-0.014155737023135558,9.440779209136963
1.6,150,6,150,0.06413365566515405,0.07197940955675432,0.007845753891600263,0.03952034695858916,8.601545572280884
1.5,150,8,150,0.06369429365500023,0.07008282617436604,0.006388532519365803,-0.11385840054501152,9.882157564163208
1.5,100,6,100,0.06333414936721612,0.06730669584391517,0.003972546476699049,-0.20109926287565782,9.527617454528809
1.5,125,6,125,0.06327036770755955,0.07337669825993709,0.010106330552377543,-0.030279096230000913,8.469860792160034
1.7,100,6,100,0.06259294596659154,0.06053164318455572,0.0,0.044507848536087725,9.671315670013428
1.5,175,6,175,0.06215403425528575,0.07462222107819641,0.012468186822910662,-0.07444437167250209,8.862092733383179
1.6,175,7,175,0.06213568631422674,0.07613273423742115,0.013997047923194408,-0.009064191740167642,9.819288730621338
1.6,175,8,175,0.06199249075368651,0.0744274914335939,0.012435000679907382,0.047512915085675594,10.47553563117981
1.5,175,8,175,0.06105659880924278,0.07243933466261192,0.011382735853369137,-0.006728494133906091,10.249222993850708
1.5,125,7,125,0.06065861649266203,0.07034012546816666,0.009681508975504634,-0.018753693384964746,9.04555058479309
1.6,175,6,175,0.05926067146260486,0.07812448757706662,0.018863816114461765,0.022398057665800112,9.214094161987305
1.5,125,8,125,0.05647287854031066,0.07060896579330253,0.014136087252991869,-0.030016870247277654,9.579891920089722
1.7,100,8,100,0.05529782721207054,0.0574700468364259,0.002172219624355355,-0.027623981987871676,9.164654016494751
1.6,150,8,150,0.05435532858135208,0.07291197110954134,0.01855664252818926,0.026267816576241068,10.174087524414062
1.7,100,7,100,0.053682068386004644,0.05840263670512433,0.0047205683191196834,0.05825705296724455,8.564265966415405
1.5,100,8,100,0.05284743729171945,0.06632585597813588,0.01347841868641643,-0.0737875590849243,9.040506839752197
1.7,175,6,175,0.052788523305243445,0.07982629294705684,0.027037769641813397,0.0957106098270811,9.213295459747314
1.7,175,8,175,0.0526398925155235,0.07682488432993373,0.02418499181441023,-0.025920708969574723,10.691943883895874
1.7,150,8,150,0.0516864961161166,0.0672921224555984,0.015605626339481801,-0.06537790311431459,10.155924558639526
1.7,175,7,175,0.048035909207482276,0.0758324698243904,0.027796560616908127,0.04707545698804091,9.907212495803833
1.7,150,6,150,0.04722925837905333,0.0696292890344666,0.022400030655413267,-0.04376892425312505,8.891636610031128
1.5,100,7,100,0.04623459231192616,0.06944131604868116,0.023206723736754996,-0.059943100710078676,8.592649698257446
1.6,100,7,100,0.03828430054623441,0.06433586496709315,0.026051564420858736,0.12942264576471096,8.736915111541748
1.7,150,7,150,0.03787576300201431,0.06521597477191685,0.027340211769902534,-0.03863598586255272,9.34668755531311
1.6,100,8,100,0.029553591734922134,0.06524676389300527,0.03569317215808313,0.12820289566128582,9.149993419647217
1.6,100,6,100,0.027324731827619655,0.06165241537955188,0.03432768355193222,0.14973601625960709,9.68073320388794
