power,cap,depth,n_features,test_ic,val_ic,gap,stability,time_s
1.6,150,6,150,0.08993407384222167,0.07160221948684599,0.0,-0.03866211466347347,9.085369348526001
1.3,100,6,100,0.08842704126478852,0.07652999805787922,0.0,-0.07236918839785259,8.044544219970703
1.7,150,6,150,0.08523577329957423,0.06623221965379665,0.0,-0.04334243434133148,8.909813642501831
1.2,50,6,50,0.08161502021575613,0.0969288310892535,0.015313810873497369,0.07338104342023548,9.050392627716064
1.2,75,8,75,0.0813381150176962,0.08359617290102596,0.0022580578833297643,-0.0489171187434347,9.1878080368042
1.7,150,8,150,0.08122250640735404,0.0664905931895701,0.0,0.10193863226194354,10.387983322143555
1.2,50,7,50,0.07911782066160246,0.09736633168318566,0.018248511021583202,0.11669964518127647,8.31775188446045
1.7,150,7,150,0.07727688443124853,0.0675590595423664,0.0,-0.012761674462377722,9.682541608810425
1.6,150,8,150,0.07695308838903911,0.07130809538398206,0.0,-0.004633629354083964,10.267772674560547
1.6,50,7,50,0.07691833192888461,0.08959100259784794,0.012672670668963326,-0.0756966575977964,8.619436502456665
1.7,200,8,200,0.07666314490397641,0.07751400073260409,0.000850855828627678,0.0027985238161455264,10.998816013336182
1.6,150,7,150,0.07621041063897922,0.07229353914913329,0.0,-0.05372027877274879,9.707218170166016
1.5,50,6,50,0.07538238976239818,0.09542918790397265,0.020046798141574465,0.006677651645129201,9.038997411727905
1.6,175,6,175,0.07535300995885205,0.06244547198862273,0.0,-0.04997145282173343,9.219465255737305
1.3,100,8,100,0.07529432395253735,0.0746561156608528,0.0,-0.021058793087110363,9.392657279968262
1.2,150,6,150,0.07489489023348216,0.07199197294846091,0.0,-0.06495879493209654,8.95469880104065
1.5,100,6,100,0.07424229699122657,0.06936072112961154,0.0,0.05415359799552459,8.10243272781372
1.5,175,6,175,0.07358668487020738,0.05794367312134808,0.0,-0.001692997366530563,9.289074659347534
1.4,75,8,75,0.07332017329862144,0.08537889096483206,0.012058717666210625,0.07866010370347443,9.170477628707886
1.4,50,6,50,0.07295939982758809,0.09945157023286295,0.026492170405274865,0.028722297749544115,9.493059396743774
1.5,100,8,100,0.07249888825906065,0.07149510645745187,0.0,0.04386978066589851,9.272045135498047
1.2,125,7,125,0.07196142225446779,0.0651235287149873,0.0,0.11984841285637639,8.911274194717407
1.4,150,8,150,0.07192653325909028,0.07206687721989277,0.00014034396080249423,0.03276913289559536,10.301285028457642
1.2,125,8,125,0.07190208816503084,0.0663537849157937,0.0,0.05743849449378119,9.66022539138794
1.5,50,7,50,0.07144979230648191,0.09740178737337396,0.025951995066892053,-0.04495864005801263,8.388773441314697
1.5,175,7,175,0.07092730510726855,0.05508073513573927,0.0,-0.035199921726140476,9.846193790435791
1.5,100,7,100,0.070850155902827,0.07012003446007191,0.0,-0.046248194556142916,8.774975538253784
1.7,200,7,200,0.07059361380174835,0.07450581929049023,0.003912205488741882,-0.05341696129304015,10.336540222167969
1.6,200,7,200,0.07047524065275125,0.06384078078244348,0.0,0.029229940339793176,10.326650619506836
1.3,100,7,100,0.0704635911898181,0.0735208709567885,0.0030572797669704,-0.02178223577293215,8.731683254241943
1.2,75,6,75,0.07037762416361902,0.0836274576248499,0.013249833461230875,0.07164731047179933,7.937753677368164
1.6,50,6,50,0.0701916644661401,0.08717170566046062,0.01698004119432052,-0.09086130225070171,9.06264591217041
1.2,50,8,50,0.07017520792184079,0.09849842011218957,0.02832321219034878,0.03894391043355016,8.860850095748901
1.7,50,8,50,0.06973883291181385,0.08598581417493138,0.016246981263117535,0.012846220000676006,9.002429246902466
1.4,50,7,50,0.06945124843186316,0.10017936137773094,0.030728112945867775,0.02261974597612749,8.562836647033691
1.2,75,7,75,0.06934308935990811,0.08168151518858624,0.012338425828678126,-0.022537973915254375,8.51990532875061
1.5,200,6,200,0.06931130381816418,0.0570058227480868,0.0,0.0669400566647725,9.542888402938843
1.3,150,6,150,0.06914030198651516,0.06603151987308778,0.0,-0.08942457013836104,8.904821872711182
1.4,75,6,75,0.06861573072085257,0.08547342289988814,0.01685769217903557,0.050849314984008055,7.924720048904419
1.4,50,8,50,0.06823970597706176,0.09617030896057863,0.027930602983516864,0.027468102473447775,8.786731719970703
1.2,100,7,100,0.06823015266887765,0.07073731163246169,0.0025071589635840413,-0.08465750909080559,8.683991432189941
1.3,125,8,125,0.06810948968312487,0.0805766986711335,0.012467208988008627,-0.09825195215123905,9.68520474433899
1.5,175,8,175,0.06782189309852206,0.054885841699881505,0.0,0.061363364743981075,10.388736009597778
1.7,50,7,50,0.0674291936410634,0.08499187973863559,0.017562686097572194,-0.04767338079442266,8.404577016830444
1.2,125,6,125,0.0673206953295673,0.0660676716555922,0.0,0.009266793422914865,8.402693033218384
1.5,50,8,50,0.06729791809201204,0.09585782121742459,0.028559903125412553,-0.03480082267165931,8.67319631576538
1.7,75,8,75,0.06716155899887274,0.08686847619602318,0.01970691719715044,-0.09406760468182955,9.26431131362915
1.2,175,8,175,0.06700939251481053,0.061941466395473106,0.0,0.06231708143554252,10.385938167572021
1.2,100,6,100,0.06698160110050233,0.06799730465515379,0.0010157035546514565,-0.010266969700229875,8.073897361755371
1.4,150,7,150,0.06688811732647142,0.07039473613206397,0.003506618805592554,0.09640600961500194,9.348441123962402
1.3,50,8,50,0.06681886338590787,0.09694237431851857,0.030123510932610703,0.02304307801381532,8.820902347564697
1.4,150,6,150,0.06646694149148741,0.07547487147893611,0.009007929987448704,0.0483123074424811,8.984766960144043
1.3,125,7,125,0.0664111204926434,0.08101258165509834,0.014601461162454935,-0.07765632669566784,9.084540843963623
1.3,50,6,50,0.0663500329784565,0.09765536745514969,0.03130533447669319,-0.03485738807028581,9.411955833435059
1.3,50,7,50,0.06610963702904596,0.09711447815843337,0.03100484112938741,-0.022810920394615228,8.279759168624878
1.3,125,6,125,0.06560552547140047,0.0795778503391285,0.013972324867728023,-0.06116064659416243,8.474698781967163
1.6,175,7,175,0.06543087871097127,0.05953683530227067,0.0,0.024023165825366184,9.68107795715332
1.4,125,6,125,0.06509838532320969,0.07522846854564948,0.010130083222439787,-0.057295009087385274,8.58514952659607
1.7,175,8,175,0.06486583860911943,0.06418905429589582,0.0,-0.0861988111329693,10.34460163116455
1.6,200,8,200,0.06437352119979377,0.06215902665357149,0.0,-0.04256534675843477,10.938638687133789
1.2,100,8,100,0.06434547366155657,0.07200377312125186,0.007658299459695289,-0.048938060977428505,9.174617528915405
1.5,75,6,75,0.06424916219049275,0.08338563766621959,0.019136475475726847,-0.041320091198629116,8.06931185722351
1.6,200,6,200,0.06405455369956121,0.06539311461651001,0.0013385609169487972,-0.011339776493871617,9.653124809265137
1.7,200,6,200,0.06390602832182112,0.07494708009069687,0.011041051768875751,-0.0728852567137945,9.475276947021484
1.7,75,7,75,0.06374695545585246,0.08585974286502797,0.022112787409175508,-0.13940976984593695,8.664122819900513
1.6,100,7,100,0.06363905606112519,0.06977899844878703,0.0061399423876618425,-0.014575054752806628,8.772269010543823
1.2,150,7,150,0.06352267329151609,0.06941487640608515,0.005892203114569061,-0.0104882125620242,9.387548685073853
1.5,75,8,75,0.06345687883017709,0.08390548696009593,0.020448608129918847,0.03904827494998121,8.97953200340271
1.2,200,8,200,0.06329670010827959,0.07114456258785137,0.007847862479571782,0.16880059368751196,11.228657484054565
1.6,100,6,100,0.06307381815472583,0.06667684386132808,0.0036030257066022447,-0.02597961947599736,8.198741912841797
1.4,200,8,200,0.06300409198161983,0.06522102320468295,0.002216931223063129,-0.020500585140864794,10.881350040435791
1.6,75,6,75,0.06297866127642471,0.07566718232817687,0.012688521051752166,-0.112792159601416,8.058139562606812
1.5,75,7,75,0.06292094873689678,0.08609316097950288,0.0231722122426061,0.03247459370590692,8.566791772842407
1.2,150,8,150,0.06270650073220298,0.07069424720265353,0.007987746470450557,0.04801362059398066,10.017070531845093
1.3,75,6,75,0.06246441541615866,0.08389973516686905,0.02143531975071039,0.02889637501697658,7.93515682220459
1.4,125,7,125,0.0623605503093122,0.07297551371194906,0.01061496340263686,-0.06168637714287215,9.204898595809937
1.3,75,7,75,0.06212012692019144,0.08275916615498188,0.020639039234790442,-0.04346122867140884,8.444516658782959
1.6,100,8,100,0.06197136042075095,0.06892851671445445,0.006957156293703498,0.014957021301547668,9.332863569259644
1.5,150,6,150,0.061793134763270745,0.06705547965500361,0.005262344891732863,0.15062257424287986,8.888277530670166
1.7,50,6,50,0.06168459262984129,0.08656359661990638,0.024879003990065096,-0.06820519238233293,9.36973261833191
1.7,175,7,175,0.06125073386291669,0.0663502458345936,0.0050995119716769136,-0.0984853984537196,9.911337852478027
1.4,100,6,100,0.06123103022245429,0.0745577078067548,0.013326677584300513,-0.06006224044880087,8.255065441131592
1.6,75,8,75,0.06093270101588403,0.07657803551327332,0.015645334497389286,-0.029903325233833714,9.174418210983276
1.6,50,8,50,0.0609113353939003,0.08531004202538875,0.02439870663148845,-0.013656765745232669,8.974800109863281
