,period_0,period_1,period_2,mean,std,stability,rank_stability,rank_mean
vol_5d_z_xs,0.0054917303,0.0042947233,0.0062560667,0.0053475066,0.0008071833,968.94415,61,54
kurtosis_60,0.00418841,0.005420614,0.006176031,0.0052616852,0.0008191879,929.7646,62,61
etf_id_code,0.0035644737,0.005340496,0.0049750055,0.0046266583,0.0007657559,916.8831,63,108
mom_spread_60d,0.0058925776,0.008285382,0.0068083727,0.0069954437,0.0009857737,902.3896,64,5
mom_ratio_5v60,0.0057836105,0.0038714907,0.0053171576,0.004990753,0.00081402523,891.4189,65,84
price_vs_ma20,0.0047951005,0.006438588,0.0045237695,0.005252486,0.000845984,878.71783,66,63
sharpe_60d_z_xs,0.005939389,0.0054480922,0.0039487504,0.0051120776,0.00084669556,854.00653,67,72
ma_10_slope,0.007616776,0.0053390525,0.0059687146,0.006308181,0.00096035906,850.68176,68,14
mom_accel_5dv60d_z_xs,0.0051384275,0.0043520555,0.006521744,0.005337409,0.00089687697,808.50885,69,56
volume_z20,0.004628075,0.0035974921,0.0056237616,0.0046164426,0.00082726195,802.25867,70,110
rotation_z5,0.0054468764,0.003994695,0.006160554,0.0052007083,0.00090117904,781.4187,71,65
ret_20d_rank_extreme,0.007881304,0.0062832995,0.0053771203,0.0065139085,0.0010352518,773.1497,72,11
yield_curve_z20,0.004859142,0.0030687426,0.004658875,0.0041955863,0.0008009826,770.2533,73,128
mom_accel_5dv20d,0.0042491457,0.005631408,0.006529931,0.005470162,0.0009380816,767.6995,74,46
ret_40d_z_xs,0.0069082747,0.00484069,0.00714033,0.0062964316,0.001033715,749.22675,75,15
vol_20d_vs_univ,0.0056397365,0.007676969,0.0053462437,0.0062209833,0.0010364862,736.88745,76,19
ret_spx_20d,0.006023612,0.0042141234,0.0040452396,0.0047609913,0.00089546555,723.1268,77,98
HYG_dvol_z20,0.0047597713,0.0038646597,0.0028335066,0.0038193122,0.0007870477,722.4096,78,146
TIP_dvol_z20,0.0056301476,0.0037159258,0.0037632713,0.004369782,0.00089142297,668.8326,79,118
skew_60,0.0053108972,0.003943011,0.0031950783,0.004149662,0.0008760521,654.20215,80,132
vol_60d_z_xs,0.0063251555,0.0040258034,0.004526994,0.004959318,0.0009872294,638.1332,81,88
ma100_vs_ma200,0.0049524545,0.00381537,0.0062470334,0.0050049527,0.0009934163,637.2017,82,82
max_dd_since_start,0.00821318,0.0053764065,0.007611707,0.007067098,0.0012204563,634.0937,83,4
rsi_7,0.005804431,0.003460519,0.004692316,0.004652422,0.0009573138,630.793,84,106
mom2_20d,0.0071820887,0.0055675255,0.004521831,0.005757148,0.0010942913,621.84406,85,33
vix_at_max_dd,0.0056211012,0.0049745003,0.0033123633,0.0046359883,0.0009724575,612.01544,86,107
ma20_vs_ma50,0.0055311196,0.0056705056,0.003435901,0.004879175,0.0010221344,591.81085,87,91
mom_accel_5dv20d_z_xs,0.0038253237,0.0042949053,0.0023121722,0.0034774672,0.0008459948,581.7523,88,162
breadth_pos_20d,0.003239809,0.005629191,0.004898372,0.004589124,0.0009996707,578.06024,89,112
mom_x_vol_60d,0.0069009066,0.005382485,0.004169572,0.0054843216,0.0011173853,571.71295,90,45
vol_cross_5v60,0.0070328885,0.0044857943,0.004754479,0.0054243878,0.0011426591,544.3679,91,49
rank_lag_60d,0.0065975785,0.0039972,0.004589967,0.0050615817,0.0011127465,531.3893,92,77
mom_accel_60dv120d,0.0067747524,0.003951831,0.005144933,0.005290505,0.0011570408,519.76196,93,59
so_cross_60v120,0.006140009,0.0035287922,0.0044018324,0.0046902113,0.0010853525,513.7149,94,104
ret_250d,0.005973596,0.0034594198,0.0039717685,0.0044682617,0.0010847886,489.83752,95,114
sharpe_120d_z_xs,0.0068352,0.0044785235,0.0041761487,0.005163291,0.0011886457,484.5489,96,69
rotation_z20,0.005121789,0.004868854,0.0077573853,0.005916009,0.0013061375,472.9855,97,26
dxy_ret_60d,0.0034737058,0.006222951,0.004389795,0.004695484,0.0011429995,470.97974,98,103
vol_10d,0.005041558,0.008186528,0.0054730256,0.006233704,0.001392045,447.235,99,18
ma10_vs_ma20,0.0028860355,0.0043266527,0.0056238268,0.004278838,0.0011182099,445.4883,100,126
ret_5d_z_within_block,0.0053772344,0.0027504824,0.0048779575,0.004335225,0.001138969,437.46323,101,119
QQQ_dvol_z20,0.0023494714,0.0046236347,0.0046936306,0.0038889125,0.0010889241,423.57697,102,143
rot_cross_5v20,0.0048312475,0.004639357,0.0076622693,0.005710958,0.0013820076,414.8025,103,36
