run,total_return_pct,ann_gross_pct,net_return_pct,net_ann_pct,net_final,sharpe,max_dd_pct
1,603.0224462451049,33.02911778109252,371.8993246392905,25.490861525619792,707848.9869589359,1.5727856380121563,-23.34099277110562
2,883.9517005183815,39.73758591875318,516.7175913268507,30.50356954675353,925076.3869902759,1.8400948917033948,-22.051062291769885
3,771.3958369586816,37.27533410548922,461.24219300700213,28.715768237041097,841863.2895105032,1.712008590608302,-20.78804279887274
4,676.9569658015848,34.990123551213316,404.85117362050573,26.736572164314442,757276.7604307586,1.669883203193886,-20.842480009478937
5,669.044354892995,34.788060046803125,404.22926340944684,26.713712906152477,756343.8951141703,1.6324727479482406,-25.51763076941329
6,588.4453881138251,32.621839696611474,363.6377129685884,25.16692238245608,695456.5694528825,1.5994682526424584,-21.91959762694282
7,615.1995893630111,33.36385328681868,371.52882340093424,25.476438200683038,707293.2351014015,1.6123269522930384,-23.6286756704139
8,442.2065917737293,28.06744646370991,284.51305336939265,21.78582558386939,576769.580054089,1.4248734248667148,-29.580367608525215
9,377.5077739654192,25.708021792878966,254.770772980542,20.359443448878235,532156.159470813,1.3033596398528997,-23.254852753887846
10,573.743319710358,32.2035427752702,367.1330535948698,25.30457182860546,700699.5803923047,1.5497813202219695,-21.704289256297884
11,663.5315666185239,34.646228967974224,401.5127796586592,26.61358136100038,752269.1694879888,1.669876012545641,-20.842038045517207
12,455.89046130844065,28.53541762676357,302.2388002174425,22.5916999675168,603358.2003261637,1.3852119185464926,-27.655008630602573
13,668.0179424612071,34.76171876707621,407.5424100869161,26.83521642075588,761313.6151303741,1.6147915412239706,-20.480178606915402
14,725.9071901430727,36.20249416670078,438.14175635043557,27.92649219397514,807212.6345256534,1.7190190026000427,-22.658853805556756
15,503.0246466894451,30.07546139078503,299.80209048908534,22.482738234101518,599703.1357336281,1.4351918768366543,-22.283337056583264
16,738.9297848667758,36.5146808427341,447.481831143868,28.249034436239494,821222.746715802,1.7206469866430483,-22.059779092422872
17,645.8913966491402,34.186437830360504,385.8925538711892,26.028655737650432,728838.8308067839,1.6259438980631762,-23.61958709323899
18,624.3292038282689,33.61163917570815,375.741618187341,25.63987183378602,713612.4272810115,1.578789500920897,-22.300543076093348
19,611.0306408314757,33.24980522882719,363.1780203539468,25.148753441850968,694767.0305309201,1.5911379764665046,-22.066050677127723
20,600.441649112596,32.957539661419744,353.4573899785424,24.760903114127487,680186.0849678136,1.622134476508456,-24.744621626707886
21,536.5494798504153,31.109444023888955,331.1138009108641,23.841758761021502,646670.7013662962,1.5318888542000264,-24.784439110826995
22,696.461463207771,35.48080573414691,405.98632369111493,26.778234425617995,758979.4855366724,1.6758977260583383,-22.721966424318385
23,691.009302454298,35.344685865639704,428.9116361308092,27.60301753596963,793367.4541962137,1.6681420420953563,-20.547516825518276
24,756.7372791721975,36.934945221778804,457.3545565002885,28.584903654589098,836031.8347504328,1.7064475623110764,-21.018461705069836
25,581.7452194121521,32.43216477957085,353.4602001024953,24.76101625870566,680190.300153743,1.549523983444342,-26.689434982761494
26,648.8149894163391,34.26327862970413,402.2083174901102,26.63926339984055,753312.4762351653,1.6519137774974058,-25.315410257169425
27,542.703576434322,31.29417866593276,339.66272647311166,24.198133904522233,659494.0897096675,1.539197352368319,-19.09189782478914
28,1062.8521957176422,43.195845191932555,615.445386482705,33.37055971631786,1073168.0797240576,1.9290534550685832,-22.26700733675988
29,773.9696184675782,37.33459514131901,455.3470881090067,28.517023445324785,833020.63216351,1.7859246239675899,-21.60970712226603
30,689.4731999718575,35.306190587295696,405.8781658416106,26.77426825872038,758817.248762416,1.6850107998911052,-20.90060892053539
31,495.79070140377956,29.845932422566367,326.1483566365575,23.631987620792437,639222.5349548362,1.4450778219310476,-25.216592999722344
32,415.9185893363618,27.13940427398116,249.7624853664146,20.109281693537206,524643.7280496219,1.3525835575608784,-24.45521415913532
33,762.4268069805983,37.06764876352744,456.95783743339496,28.571505626701143,835436.7561500925,1.7655390553903796,-24.609881450054015
34,597.3188289571159,32.87062694697156,357.4040591549691,24.91922189197342,686106.0887324536,1.5909801937733112,-23.21565930949898
35,564.3791742883311,31.933037859986115,347.987959382102,24.539543505280804,671981.9390731531,1.5056878644788196,-26.160780907884874
36,859.067939510923,39.214757152251046,519.024678633147,30.574900014659747,928537.0179497205,1.8026358234811988,-22.26514260646941
37,593.9430427958015,32.776299285422006,356.36888376812965,24.877809483284373,684553.3256521946,1.6031085232844384,-19.721302025406075
38,654.0732363128863,34.40083892089321,405.13724140431424,26.747078951075576,757705.8621064714,1.6423457915163262,-22.67691153444894
