label,power,cap,depth,n_features,test_ic,val_ic,gap,stability,return_pct,ann_return,sharpe,max_dd,time_s
best_ic,1.6,150,6,150,0.08993407384222167,0.07160221948684599,0.0,-0.03866211466347347,632.2,33.8,1.273,-36.8,49.59900689125061
stable_1,1.7,150,8,150,0.08122250640735404,0.0664905931895701,0.0,0.10193863226194354,774.6,37.3,1.407,-30.4,51.04609799385071
stable_2,1.2,125,7,125,0.07196142225446779,0.0651235287149873,0.0,0.11984841285637639,785.0,37.6,1.433,-38.3,49.476428508758545
stable_3,1.5,100,6,100,0.07424229699122657,0.06936072112961154,0.0,0.05415359799552459,811.4,38.2,1.412,-34.4,48.65338897705078
stable_4,1.2,50,7,50,0.07911782066160246,0.09736633168318566,0.018248511021583202,0.11669964518127647,598.4,32.9,1.299,-35.7,47.71338605880737
